school,sex,age,reason,guardian,traveltime,studytime,activities,internet
GP,F,18,course,mother,2,2,no,no
GP,F,17,course,father,1,2,no,yes
GP,F,15,other,mother,1,2,no,yes
GP,F,15,home,mother,1,3,yes,yes
GP,F,16,home,father,1,2,no,no
GP,M,16,reputation,mother,1,2,yes,yes
GP,M,16,home,mother,1,2,no,yes
GP,F,17,home,mother,2,2,no,no
GP,M,15,home,mother,1,2,no,yes
GP,M,15,home,mother,1,2,yes,yes
GP,F,15,reputation,mother,1,2,no,yes
GP,F,15,reputation,father,3,3,yes,yes
GP,M,15,course,father,1,1,yes,yes
GP,M,15,course,mother,2,2,no,yes
GP,M,15,home,other,1,3,no,yes
GP,F,16,home,mother,1,1,no,yes
GP,F,16,reputation,mother,1,3,yes,yes
GP,F,16,reputation,mother,3,2,yes,no
GP,M,17,course,mother,1,1,yes,yes
GP,M,16,home,father,1,1,yes,yes
GP,M,15,reputation,mother,1,2,no,yes
GP,M,15,other,father,1,1,no,yes
GP,M,16,course,mother,1,2,yes,yes
GP,M,16,reputation,mother,2,2,yes,yes
GP,F,15,course,mother,1,3,yes,yes
GP,F,16,home,mother,1,1,no,yes
GP,M,15,home,mother,1,1,no,yes
GP,M,15,other,mother,1,1,no,yes
GP,M,16,home,mother,1,2,yes,yes
GP,M,16,home,mother,1,2,yes,yes
GP,M,15,home,mother,1,2,no,yes
GP,M,15,reputation,mother,2,2,yes,yes
GP,M,15,course,mother,1,2,yes,yes
GP,M,15,course,mother,1,2,yes,yes
GP,M,16,home,mother,1,1,no,yes
GP,F,15,other,father,2,1,yes,no
GP,M,15,home,mother,1,3,yes,yes
GP,M,16,reputation,mother,2,3,yes,yes
GP,F,15,course,mother,1,3,yes,yes
GP,F,15,reputation,mother,1,1,yes,no
GP,F,16,home,mother,2,2,yes,yes
GP,M,15,home,other,1,1,no,yes
GP,M,15,course,father,1,2,yes,yes
GP,M,15,course,father,1,1,no,yes
GP,F,16,course,father,2,2,yes,yes
GP,F,15,course,mother,1,2,yes,yes
GP,F,16,home,mother,1,2,no,yes
GP,M,16,reputation,mother,1,4,yes,yes
GP,M,15,home,mother,1,2,no,no
GP,F,15,other,father,1,2,yes,yes
GP,F,16,course,mother,3,2,no,yes
GP,F,15,other,mother,1,2,no,yes
GP,M,15,other,father,2,1,no,no
GP,F,15,course,mother,1,1,no,yes
GP,F,15,other,mother,1,1,no,yes
GP,F,16,other,mother,1,2,yes,yes
GP,F,15,reputation,mother,1,2,yes,yes
GP,M,15,reputation,mother,1,2,yes,no
GP,M,15,home,father,1,2,yes,yes
GP,F,16,course,mother,1,2,no,yes
GP,F,16,other,mother,1,2,yes,no
GP,F,16,course,father,4,1,yes,yes
GP,F,16,reputation,father,1,2,yes,yes
GP,F,16,home,mother,1,3,yes,yes
GP,F,15,reputation,father,1,2,yes,yes
GP,F,16,course,mother,3,2,yes,yes
GP,M,15,reputation,mother,1,4,yes,yes
GP,F,16,course,mother,1,4,no,yes
GP,F,15,reputation,mother,2,2,no,yes
GP,F,15,reputation,father,2,4,no,yes
GP,M,16,reputation,father,2,4,no,yes
GP,M,15,course,mother,1,4,no,yes
GP,F,15,reputation,mother,1,2,no,yes
GP,M,16,reputation,mother,1,1,yes,no
GP,F,16,home,mother,1,2,yes,yes
GP,M,15,home,mother,1,2,yes,yes
GP,M,15,course,mother,2,4,yes,yes
GP,F,16,reputation,mother,1,4,no,yes
GP,M,17,home,mother,2,1,yes,yes
GP,F,16,course,mother,1,2,no,yes
GP,M,15,course,father,1,1,yes,yes
GP,M,15,home,mother,1,3,no,yes
GP,F,15,reputation,mother,1,2,no,yes
GP,M,15,home,mother,2,2,yes,yes
GP,F,15,home,father,1,2,yes,yes
GP,F,15,reputation,father,2,2,no,yes
GP,F,16,course,mother,1,2,no,no
GP,F,15,reputation,mother,1,3,yes,yes
GP,M,16,reputation,father,2,2,yes,yes
GP,M,16,reputation,mother,1,2,no,no
GP,F,16,home,mother,1,3,no,yes
GP,F,15,reputation,mother,1,1,yes,yes
GP,F,16,home,father,1,2,no,no
GP,F,16,home,mother,2,2,yes,yes
GP,M,15,reputation,mother,1,4,yes,yes
GP,F,15,home,mother,2,4,yes,yes
GP,M,16,reputation,mother,2,1,yes,yes
GP,F,16,course,mother,1,2,no,no
GP,F,16,reputation,mother,1,1,yes,yes
GP,F,16,course,mother,1,3,no,yes
GP,M,16,other,mother,1,1,yes,yes
GP,M,16,other,father,1,3,yes,yes
GP,M,15,course,mother,1,1,yes,yes
GP,F,15,home,mother,2,2,no,yes
GP,M,15,course,mother,1,2,yes,yes
GP,F,15,reputation,father,1,4,no,no
GP,F,15,course,mother,1,4,no,yes
GP,M,16,home,father,1,3,yes,yes
GP,M,15,home,father,4,4,yes,yes
GP,F,16,other,mother,1,3,yes,yes
GP,M,15,course,mother,1,1,yes,yes
GP,F,16,reputation,father,1,3,yes,yes
GP,F,16,home,mother,1,2,yes,yes
GP,M,15,course,mother,1,1,no,yes
GP,M,15,reputation,mother,1,2,yes,yes
GP,M,16,course,father,1,2,yes,yes
GP,M,15,reputation,father,2,2,yes,no
GP,M,16,home,father,2,1,yes,yes
GP,M,17,course,father,3,2,yes,yes
GP,M,15,reputation,father,1,1,no,yes
GP,F,15,course,mother,1,2,no,yes
GP,M,15,home,father,1,4,yes,yes
GP,F,16,course,father,2,2,yes,yes
GP,M,16,course,mother,1,1,yes,yes
GP,F,16,home,mother,1,2,no,yes
GP,M,15,home,father,1,1,no,yes
GP,F,15,home,mother,1,2,yes,yes
GP,F,19,course,other,1,2,no,no
GP,M,18,reputation,mother,1,1,yes,yes
GP,M,16,course,mother,1,1,yes,yes
