t;Y;X1;X2;X3;X4
1;0,826;1,007;3,856;51,2;0,435
2;0,812;1,012;3,887;51,8;0,437
3;0,844;1,009;3,896;52,1;0,433
4;0,782;1,008;3,857;50,5;0,438
5;1,532;1,538;5,508;45,2;0,225
6;1,564;1,597;5,51;45,4;0,226
7;1,657;1,607;5,459;45,6;0,231
8;1,575;1,509;5,508;46;0,224
9;1,092;1,017;6,673;48,2;0,467
10;1,11;1,113;6,621;48,1;0,469
11;1,14;1,222;6,636;48,6;0,464
12;1,106;1,111;6,442;49;0,448
13;0,982;0,951;4,221;54,1;0,536
14;1,005;1,112;4,372;54,4;0,532
15;1,07;1,114;4,546;54,6;0,533
16;0,955;0,988;3,773;53;0,551
17;0,771;0,775;4,006;63,1;0,601
18;0,79;0,786;4,002;63,6;0,608
19;0,812;0,814;4,008;63,7;0,594
20;0,851;0,859;3,996;63;0,593
21;0,892;0,886;3,901;57,1;0,519
22;0,901;0,952;3,989;57,8;0,521
23;0,902;0,909;3,959;57,5;0,522
24;0,989;0,986;3,831;57,2;0,518
25;0,689;0,676;3,909;50,7;0,449
26;0,732;0,752;3,976;52,2;0,446
27;0,728;0,723;3,901;51,5;0,449
28;0,699;0,675;3,974;51,5;0,456
29;1,001;1,014;6,751;54,9;0,381
30;1,017;1,018;6,795;54,5;0,394
31;1,024;1,019;6,799;55,7;0,389
32;0,962;0,954;6,791;54,9;0,396
33;1,117;1,112;4,309;50,9;0,392
34;1,119;1,117;4,312;51,4;0,395
35;1,136;1,139;4,317;51,8;0,391
36;1,14;1,133;4,302;49,9;0,382
37;1,144;1,137;6,391;57,4;0,368
38;1,136;1,139;6,395;57,6;0,373
39;1,159;1,154;6,396;57,9;0,376
40;1,165;1,159;6,378;57,5;0,363
41;1,118;1,112;4,201;52,1;0,331
42;1,236;1,221;4,205;52,6;0,322
43;1,242;1,258;4,208;52,7;0,325
44;1,296;1,259;4,198;51,4;0,302
45;1,176;0,965;6,282;57,1;0,349
46;1,198;0,998;6,289;57,4;0,353
47;1,201;0,997;6,291;57,9;0,356
48;1,181;0,995;6,258;57,6;0,342
49;0,581;0,812;7,591;64;0,546
50;0,598;0,822;7,596;64,4;0,551
51;0,599;0,824;7,598;64,7;0,552
52;0,602;0,818;7,595;63,3;0,511
53;0,702;1,002;3,871;67,9;0,55
54;0,721;1,006;3,804;68,5;0,572
55;0,734;1,08;3,889;67,3;0,523
56;0,735;1,032;3,94;65,9;0,525
57;0,997;0,999;6,52;41,4;0,437
58;0,995;0,997;6,458;41,9;0,439
59;1,12;1,18;6,952;40,1;0,443
60;0,892;1,024;7,57;38,2;0,451
61;1,304;1,12;4,47;48,8;0,427
62;1,302;1,109;4,45;47,6;0,429
63;1,399;1,209;4,49;48,1;0,426
64;1,383;1,204;4,55;48,3;0,41
65;1,162;1,11;4,48;57,2;0,439
66;1,165;1,114;4,51;57,9;0,441
67;1,174;1,138;4,51;57,4;0,445
68;1,167;1,198;4,58;57,5;0,427
69;1,181;1,26;4,34;53,3;0,449
70;1,194;1,227;4,36;52,6;0,446
71;1,222;1,29;4,29;52,1;0,451
72;1,195;1,103;4,33;53,2;0,444
73;1,181;0,996;4,571;53,2;0,491
74;1,174;0,974;4,562;52,4;0,489
75;1,196;0,969;4,589;52,9;0,487
76;1,113;1,008;4,438;51,5;0,485
77;0,967;0,802;4,002;64,2;0,557
78;0,981;0,84;4,006;64,4;0,559
79;0,963;0,856;4,001;64,9;0,559
80;0,953;0,842;4,011;64,1;0,563
81;0,887;1,11;7,002;66,2;0,471
82;0,894;1,06;7,012;66,7;0,475
83;0,899;1,09;7,042;66,9;0,469
84;0,896;1,06;7,024;65,8;0,465
85;0,967;0,892;3,59;65,7;0,476
86;0,996;0,882;3,544;65,9;0,479
87;0,968;0,956;3,595;68,7;0,481
88;0,794;0,799;3,389;76,9;0,553
89;0,791;0,896;3,337;76,9;0,557
90;0,776;0,851;3,336;77;0,559
91;0,889;0,841;3,81;64,1;0,501
92;0,894;0,836;3,974;62,5;0,507
93;0,645;0,859;3,657;63,9;0,511
94;0,776;0,902;3,938;63,9;0,501
95;0,945;0,896;4,237;66,4;0,509
96;0,996;0,894;4,209;66,7;0,507
97;0,818;0,996;4,012;66,8;0,511
98;0,872;0,906;4,006;66,1;0,503
